id	gene	locus	cls	chrom	strand	lo	hi	len	gc	trunc	cai	product
Trichoderma_TRIATDRAFT_161079	Trichoderma	TRIATDRAFT_161079	named	ABDG02000028.1	-	659824	661324	1500	0.5413	none	0.6776	pyruvate kinase
Trichoderma_TRIATDRAFT_217154	Trichoderma	TRIATDRAFT_217154	named	ABDG02000021.1	+	85893	86996	1103	0.4125	neighbour	0.3002	hypothetical protein
Trichoderma_TRIATDRAFT_289254	Trichoderma	TRIATDRAFT_289254	named	ABDG02000015.1	-	244664	246164	1500	0.3967	none	0.2553	polyketide synthase
Trichoderma_TRIATDRAFT_297741	Trichoderma	TRIATDRAFT_297741	named	ABDG02000017.1	-	432942	433507	565	0.5257	neighbour	0.7508	hypothetical protein
Trichoderma_TRIATDRAFT_300828	Trichoderma	TRIATDRAFT_300828	named	ABDG02000026.1	-	1339488	1340988	1500	0.5153	none	0.7177	hypothetical protein
cai01_TRIATDRAFT_302156	cai01	TRIATDRAFT_302156	high_cai	ABDG02000027.1	-	3950923	3952423	1500	0.5113	none	0.8512	NAD dependent formate dehydrogenase
cai03_TRIATDRAFT_301493	cai03	TRIATDRAFT_301493	high_cai	ABDG02000027.1	+	572798	574298	1500	0.4560	none	0.8457	hypothetical protein
cai04_TRIATDRAFT_260329	cai04	TRIATDRAFT_260329	high_cai	ABDG02000029.1	-	1027970	1028313	343	0.4985	neighbour	0.8334	hypothetical protein
cai05_TRIATDRAFT_298935	cai05	TRIATDRAFT_298935	high_cai	ABDG02000021.1	-	1420602	1421119	517	0.5571	neighbour	0.8285	hypothetical protein
cai06_TRIATDRAFT_256549	cai06	TRIATDRAFT_256549	high_cai	ABDG02000022.1	+	1551063	1552563	1500	0.5200	none	0.8269	hypothetical protein
cai07_TRIATDRAFT_188135	cai07	TRIATDRAFT_188135	high_cai	ABDG02000014.1	-	491069	491868	799	0.5194	neighbour	0.8263	hypothetical protein
cai08_TRIATDRAFT_53194	cai08	TRIATDRAFT_53194	high_cai	ABDG02000013.1	+	155874	157374	1500	0.5607	none	0.8246	hypothetical protein
cai10_TRIATDRAFT_44518	cai10	TRIATDRAFT_44518	high_cai	ABDG02000020.1	-	1179376	1180876	1500	0.5200	none	0.8118	hypothetical protein
cai11_TRIATDRAFT_298020	cai11	TRIATDRAFT_298020	high_cai	ABDG02000018.1	+	516358	517080	722	0.4252	neighbour	0.8074	hypothetical protein
cai12_TRIATDRAFT_298585	cai12	TRIATDRAFT_298585	high_cai	ABDG02000020.1	+	302581	303454	873	0.5773	neighbour	0.8055	hypothetical protein
cai13_TRIATDRAFT_299661	cai13	TRIATDRAFT_299661	high_cai	ABDG02000024.1	-	538524	539792	1268	0.4448	neighbour	0.8053	malate dehydrogenase%2C NAD-dependent
cai14_TRIATDRAFT_130331	cai14	TRIATDRAFT_130331	high_cai	ABDG02000027.1	-	2806810	2807478	668	0.4476	neighbour	0.8014	triosephosphate isomerase
cai15_TRIATDRAFT_298040	cai15	TRIATDRAFT_298040	high_cai	ABDG02000018.1	+	640810	641095	285	0.5228	neighbour	0.7997	hypothetical protein
cai16_TRIATDRAFT_258888	cai16	TRIATDRAFT_258888	high_cai	ABDG02000027.1	+	774661	776161	1500	0.4913	none	0.7968	hypothetical protein
cai18_TRIATDRAFT_297563	cai18	TRIATDRAFT_297563	high_cai	ABDG02000016.1	+	718046	719141	1095	0.5379	neighbour	0.7961	hypothetical protein
cai19_TRIATDRAFT_40685	cai19	TRIATDRAFT_40685	high_cai	ABDG02000023.1	+	381555	383055	1500	0.5247	none	0.7936	hypothetical protein
cai20_TRIATDRAFT_300024	cai20	TRIATDRAFT_300024	high_cai	ABDG02000024.1	+	2369139	2369536	397	0.5290	neighbour	0.7927	hypothetical protein
cai21_TRIATDRAFT_299044	cai21	TRIATDRAFT_299044	high_cai	ABDG02000022.1	-	421826	422526	700	0.4771	neighbour	0.7920	hypothetical protein
cai22_TRIATDRAFT_297965	cai22	TRIATDRAFT_297965	high_cai	ABDG02000018.1	-	54596	56096	1500	0.4747	none	0.7916	hypothetical protein
cai23_TRIATDRAFT_256508	cai23	TRIATDRAFT_256508	high_cai	ABDG02000022.1	+	1228061	1228419	358	0.5559	neighbour	0.7909	hypothetical protein
cai24_TRIATDRAFT_150394	cai24	TRIATDRAFT_150394	high_cai	ABDG02000025.1	-	895543	895949	406	0.5000	neighbour	0.7904	hypothetical protein
cai25_TRIATDRAFT_34076	cai25	TRIATDRAFT_34076	high_cai	ABDG02000026.1	-	2296637	2298137	1500	0.4360	none	0.7898	hypothetical protein
cai26_TRIATDRAFT_129664	cai26	TRIATDRAFT_129664	high_cai	ABDG02000020.1	-	905230	905954	724	0.4613	neighbour	0.7895	hypothetical protein
cai27_TRIATDRAFT_140096	cai27	TRIATDRAFT_140096	high_cai	ABDG02000023.1	-	461471	462971	1500	0.5467	none	0.7871	hypothetical protein
cai28_TRIATDRAFT_77477	cai28	TRIATDRAFT_77477	high_cai	ABDG02000027.1	+	5326018	5327518	1500	0.5427	none	0.7870	hypothetical protein
cai29_TRIATDRAFT_301763	cai29	TRIATDRAFT_301763	high_cai	ABDG02000027.1	+	1855671	1856767	1096	0.4854	neighbour	0.7865	hypothetical protein
cai30_TRIATDRAFT_299667	cai30	TRIATDRAFT_299667	high_cai	ABDG02000024.1	-	569089	570589	1500	0.5160	none	0.7824	fructose-bisphosphate aldolase%2C class II
cai31_TRIATDRAFT_133737	cai31	TRIATDRAFT_133737	high_cai	ABDG02000015.1	+	698404	699076	672	0.4226	neighbour	0.7800	hypothetical protein
cai32_TRIATDRAFT_297301	cai32	TRIATDRAFT_297301	high_cai	ABDG02000015.1	-	444739	446239	1500	0.4733	none	0.7797	hypothetical protein
cai34_TRIATDRAFT_299023	cai34	TRIATDRAFT_299023	high_cai	ABDG02000022.1	-	314181	314505	324	0.4753	neighbour	0.7791	hypothetical protein
cai35_TRIATDRAFT_295566	cai35	TRIATDRAFT_295566	high_cai	ABDG02000027.1	+	3957596	3959096	1500	0.5040	none	0.7780	hypothetical protein
cai36_TRIATDRAFT_297279	cai36	TRIATDRAFT_297279	high_cai	ABDG02000015.1	+	305390	305925	535	0.5776	neighbour	0.7776	hypothetical protein
cai37_TRIATDRAFT_35222	cai37	TRIATDRAFT_35222	high_cai	ABDG02000026.1	+	2106309	2107809	1500	0.4640	none	0.7775	hypothetical protein
cai38_TRIATDRAFT_302021	cai38	TRIATDRAFT_302021	high_cai	ABDG02000027.1	-	3176040	3177024	984	0.4451	neighbour	0.7775	hypothetical protein
cai40_TRIATDRAFT_297217	cai40	TRIATDRAFT_297217	high_cai	ABDG02000014.1	+	899114	899930	816	0.4547	neighbour	0.7771	hypothetical protein
mid01_TRIATDRAFT_216699	mid01	TRIATDRAFT_216699	moderate	ABDG02000020.1	+	875963	877041	1078	0.4518	neighbour	0.3400	hypothetical protein
mid02_TRIATDRAFT_322102	mid02	TRIATDRAFT_322102	moderate	ABDG02000027.1	+	4668841	4669633	792	0.4773	neighbour	0.3399	hypothetical protein
mid03_TRIATDRAFT_83166	mid03	TRIATDRAFT_83166	moderate	ABDG02000015.1	-	124690	126190	1500	0.5300	none	0.3399	hypothetical protein
mid04_TRIATDRAFT_293548	mid04	TRIATDRAFT_293548	moderate	ABDG02000025.1	-	2087147	2088647	1500	0.4500	none	0.3399	hypothetical protein
mid05_TRIATDRAFT_143970	mid05	TRIATDRAFT_143970	moderate	ABDG02000017.1	-	1150914	1151292	378	0.5635	neighbour	0.3399	hypothetical protein
mid06_TRIATDRAFT_291825	mid06	TRIATDRAFT_291825	moderate	ABDG02000022.1	+	1680219	1681719	1500	0.4467	none	0.3398	hypothetical protein
mid07_TRIATDRAFT_147797	mid07	TRIATDRAFT_147797	moderate	ABDG02000027.1	+	2450514	2451124	610	0.4377	neighbour	0.3398	hypothetical protein
mid08_TRIATDRAFT_310752	mid08	TRIATDRAFT_310752	moderate	ABDG02000026.1	+	2807953	2809453	1500	0.5640	none	0.3398	hypothetical protein
mid09_TRIATDRAFT_25900	mid09	TRIATDRAFT_25900	moderate	ABDG02000021.1	-	899261	900761	1500	0.4193	none	0.3398	hypothetical protein
mid10_TRIATDRAFT_314676	mid10	TRIATDRAFT_314676	moderate	ABDG02000015.1	+	109581	111081	1500	0.4600	none	0.3398	hypothetical protein
shuf01_of_cai01	shuffled_cai01	-	control_shuffled	-	.	-1	-1	1500	0.5113	none	NA	dinucleotide shuffle
